"Title","Default language","Default text","en-US text","Variant status","Placeholder"
"Avatar","English","Avatar","Avatar","Active","dc.avatar"
"Quick Links","English","Quick Links","Quick Links","Active","dc.quick_links"
"Resources","English","Resources","Resources","Active","dc.resources"
"Related Sites","English","Related Sites","Related Sites","Active","dc.related_sites"
"View All","English","View All","View All","Active","dc.view_all"
"Suggested Topics","English","Suggested Topics","Suggested Topics","Active","dc.suggested_topics"
"Receive Help On Bugs and Issues. Available To Subscription Customers","English","Receive help on bugs and issues. Available to subscription customers.","Receive help on bugs and issues. Available to subscription customers.","Active","dc.receive_help_on_bugs_and_issues_available_to_subscription_customers"
"Getting Started","English","Getting Started","Getting Started","Active","dc.getting_started"
"No Section in Category","English","No Section in Category","No Section in Category","Active","dc.no_section_in_category"
"All Rights Reserved","English","All Rights Reserved","All Rights Reserved","Active","dc.all_rights_reserved"
"How Can We Help","English","How can we help?","How can we help?","Active","dc.how_can_we_help"
"Still Need Help","English","Still Need Help?","Still Need Help?","Active","dc.still_need_help"
"Administering Liferay Analytics Cloud","English","Administering Liferay Analytics Cloud","Administering Liferay Analytics Cloud","Active","dc.administering_liferay_analytics_cloud"
"No Articles in Section","English","No articles in section","No articles in section","Active","dc.no_articles_in_section"
