"Title","Default language","Default text","ja text","Variant status","Placeholder"
"Administering Liferay Analytics Cloud","English","Administering Liferay Analytics Cloud","","","dc.administering_liferay_analytics_cloud"
"All Rights Reserved","English","All Rights Reserved","","","dc.all_rights_reserved"
"Analytics Cloud","English","Analytics Cloud","","","dc.analytics_cloud"
"Avatar","English","Avatar","","","dc.avatar"
"Getting Started","English","Getting Started","","","dc.getting_started"
"Help","English","Help","","","dc.help"
"How Can We Help","English","How can we help?","どのように我々は助けることができます
","Active","dc.how_can_we_help"
"No Articles in Section","English","No Articles in Section","","","dc.no_articles_in_section"
"No Section in Category","English","No Section in Category","","","dc.no_section_in_category"
"Quick Links","English","Quick Links","","","dc.quick_links"
"Receive Help On Bugs and Issues. Available To Subscription Customers","English","Contact us if you can't find a solution to your issue.","","","dc.receive_help_on_bugs_and_issues_available_to_subscription_customers"
"Related Sites","English","Related Sites","","","dc.related_sites"
"Resources","English","Resources","","","dc.resources"
"Sorry We Searched Far Into Outer Space But Couldnt Find","English","Sorry! We searched far into outer space, but couldn't find","","","dc.sorry_we_searched_far_into_outer_space_but_couldnt_find"
"Still Need Help","English","Still Need Help?","","","dc.still_need_help"
"Suggested Topics","English","Suggested Topics","","","dc.suggested_topics"
"User Guide","English","User Guide","","","dc.user_guide"
"View All","English","View All","","","dc.view_all"
