"Title","Default language","Default text","ja text","Variant status","Placeholder"
"5.2::Compatibility Matrix Card Description","English","Learn about the supported configurations for Liferay Portal 5.2.","Liferay Portal 5.2でサポートされている設定を確認","Active","dc.5_2-compatibility_matrix_card_description"
"5.2::Documentation Card Description","English","Reference the admin guide and whitepapers for Liferay Portal 5.2.","Liferay Portal 5.2の管理者ガイドと　　　　ホワイトペーパーを参照","Active","dc.5_2-documentation_card_description"
"5.2::Downloads Card Description","English","Download the archived service packs and fix packs for Liferay Portal 5.2.","アーカイブされたサービスパックと　　　フィックスパックをダウンロード","Active","dc.5_2-downloads_card_description"
"5.2::Info Banner","English","Support for Liferay Portal 5.2 has ended.","Liferay Portal 5.2のサポート期間は終了しました","Active","dc.5_2-info_banner"
"5.2::Page Heading","English","Liferay Portal 5.2","Liferay Portal 5.2","Active","dc.5_2-page_heading"
"6.0::Compatibility Matrix Card Description","English","Learn about the supported configurations for Liferay Portal 6.0.","Liferay Portal 6.0でサポートされている設定を詳しく見る","Active","dc.6_0-compatibility_matrix_card_description"
"6.0::Documentation Card Description","English","Reference the admin guide and whitepapers for Liferay Portal 6.0.","Liferay Portal 6.0の管理者ガイド　　　　ホワイトペーパーを参照","Active","dc.6_0-documentation_card_description"
"6.0::Downloads Card Description","English","Download the archived service packs and fix packs for Liferay Portal 6.0.","アーカイブされたサービスパックと　　　フィックスパックをダウンロード","Active","dc.6_0-downloads_card_description"
"6.0::Info Banner","English","Support for Liferay Portal 6.0 has ended.","Liferay Portal 6.0のサポート期間は終了しました","Active","dc.6_0-info_banner"
"6.0::Page Heading","English","Liferay Portal 6.0","Liferay Portal 6.0","Active","dc.6_0-page_heading"
"6.1::Admin Guide Card Description","English","Learn how to use all the out-of-the-box features in Liferay Portal 6.1.","Liferay Portal 6.1の標準機能の使用方法を習得 ","Active","dc.6_1-admin_guide_card_description"
"6.1::Compatibility Matrix Card Description","English","Learn about the supported configurations for Liferay Portal 6.1.","Liferay Portal 6.1でサポートされている設定を確認","Active","dc.6_1-compatibility_matrix_card_description"
"6.1::Deployment Guide Card Description","English","Learn how to deploy, configure, maintain, and monitor your Liferay Portal 6.1 environments.","Liferay Portal 6.1環境のデプロイ、設定、維持及び管理方法の詳細","Active","dc.6_1-deployment_guide_card_description"
"6.1::Info Banner","English","Liferay Portal 6.1 EE is now in the Limited Support Phase.","Liferay Portal 6.1 EEは限定サポート期間に入っています","Active","dc.6_1-info_banner"
"6.1::Latest Release Card Description","English","Download and install the latest release of Liferay Portal 6.1.","Liferay Portal 6.1の最新リリースをダウンロードとインストール","Active","dc.6_1-latest_release_card_description"
"6.1::Page Heading","English","Liferay Portal 6.1","Liferay Portal 6.1","Active","dc.6_1-page_heading"
"6.1::Patching Tool Card Description","English","Download the patching tool to install Liferay Portal 6.1 software updates.","Liferay Portal 6.1ソフトウェア更新に必要な　　　パッチングツールをダウンロード","Active","dc.6_1-patching_tool_card_description"
"6.1::Service Life Card Description","English","Reference the end of life policy for Liferay Portal 6.1.","Liferay Portal 6.1のサービス終了ポリシーを参照","Active","dc.6_1-service_life_card_description"
"6.1::Service Packs Archive Card Description","English","Access previous service pack releases for Liferay Portal 6.1.","Liferay Portal 6.1の過去のサービスパックへ　　　アクセス","Active","dc.6_1-service_packs_archive_card_description"
