"Title","Default language","Default text","pt text","Variant status","Placeholder"
"5.2::Compatibility Matrix Card Description","English","Learn about the supported configurations for Liferay Portal 5.2.","Conheça as configurações suportadas para o Liferay Portal 5.2.","Active","dc.5_2-compatibility_matrix_card_description"
"5.2::Documentation Card Description","English","Reference the admin guide and whitepapers for Liferay Portal 5.2.","Consulte o guia do administrador e os documentos técnicos do Liferay Portal 5.2.","Active","dc.5_2-documentation_card_description"
"5.2::Downloads Card Description","English","Download the archived service packs and fix packs for Liferay Portal 5.2.","Faça o download dos Service Packs e dos Fix Packs arquivados do Liferay Portal 5.2.","Active","dc.5_2-downloads_card_description"
"5.2::Info Banner","English","Support for Liferay Portal 5.2 has ended.","O suporte do Liferay Portal 5.2 terminou.","Active","dc.5_2-info_banner"
"5.2::Page Heading","English","Liferay Portal 5.2","Liferay Portal 5.2","Active","dc.5_2-page_heading"
"6.0::Compatibility Matrix Card Description","English","Learn about the supported configurations for Liferay Portal 6.0.","Conheça as configurações suportadas para o Liferay Portal 6.0.","Active","dc.6_0-compatibility_matrix_card_description"
"6.0::Documentation Card Description","English","Reference the admin guide and whitepapers for Liferay Portal 6.0.","Consulte o guia do administrador e os whitepapers para o Liferay Portal 6.0.","Active","dc.6_0-documentation_card_description"
"6.0::Downloads Card Description","English","Download the archived service packs and fix packs for Liferay Portal 6.0.","Faça o download dos Service Packs e Fix Packs arquivados para o Liferay Portal 6.0.","Active","dc.6_0-downloads_card_description"
"6.0::Info Banner","English","Support for Liferay Portal 6.0 has ended.","O suporte para o Liferay Portal 6.0 terminou.","Active","dc.6_0-info_banner"
"6.0::Page Heading","English","Liferay Portal 6.0","Liferay Portal 6.0","Active","dc.6_0-page_heading"
"6.1::Admin Guide Card Description","English","Learn how to use all the out-of-the-box features in Liferay Portal 6.1.","Aprenda a usar todos os recursos nativos do Liferay Portal 6.1.","Active","dc.6_1-admin_guide_card_description"
"6.1::Compatibility Matrix Card Description","English","Learn about the supported configurations for Liferay Portal 6.1.","Conheça as configurações suportadas para o Liferay Portal 6.1.","Active","dc.6_1-compatibility_matrix_card_description"
"6.1::Deployment Guide Card Description","English","Learn how to deploy, configure, maintain, and monitor your Liferay Portal 6.1 environments.","Aprenda como implantar, configurar, manter e monitorar seus ambientes do Liferay Portal 6.1.","Active","dc.6_1-deployment_guide_card_description"
"6.1::End of Life Banner","English","Support for Liferay Portal 6.1 has ended.	","O suporte para o Liferay Portal 6.1 terminou.	","Active","dc.6_1-end_of_life_banner"
"6.1::Info Banner","English","Liferay Portal 6.1 EE is now in the Limited Support Phase.","O Liferay Portal 6.1 EE está, agora, na fase de Suporte Limitado.","Active","dc.6_1-info_banner"
"6.1::Latest Release Card Description","English","Download and install the latest release of Liferay Portal 6.1.","Baixe e instale a versão mais recente do Liferay Portal 6.1.","Active","dc.6_1-latest_release_card_description"
"6.1::Page Heading","English","Liferay Portal 6.1","Liferay Portal 6.1","Active","dc.6_1-page_heading"
